Horaire,Durée,Latitude,Longitude,Altitude m,Pression mb,Temp Int C,Temp Ext C,Humidité %,Tension batterie V
13:06:50,00:00:00,47.995335,0.20466667,48.768593,935,26.2,16.5,40,11.8
13:07:10,00:00:20,47.995335,0.20466667,48.768593,934,26.1,16.7,40,11.9
13:07:31,00:00:41,47.995335,0.20466667,56.69349,934,26.3,13,40,11.9
13:07:52,00:01:02,47.995834,0.20516667,131.6752,924,26.5,11.5,36,11.8
13:08:13,00:01:23,47.9965,0.20616667,220.67787,914,26.6,11.5,36,11.9
13:08:33,00:01:43,47.996834,0.20683332,302.67007,904,26.7,11.5,35,11.9
13:08:54,00:02:04,47.997334,0.20766667,387.7103,895,26.8,10.5,34,11.9
13:09:15,00:02:25,47.998,0.20883334,478.5418,885,26.6,9.8,33,11.9
13:09:36,00:02:46,47.998333,0.21,566.9349,875,26.8,9.2,33,11.9
13:09:56,00:03:06,47.998665,0.21133333,648.92706,866,27,8.7,32,12
13:10:17,00:03:27,47.99917,0.2125,731.5289,857,27.1,8,30,12
13:10:38,00:03:48,47.999832,0.21366666,821.446,847,27.1,7,31,12
13:10:58,00:04:08,48.00033,0.215,907.0958,837,27.2,6.2,30,12
13:11:19,00:04:29,48.00083,0.21700001,994.26965,828,27.2,6,29,12
13:11:40,00:04:50,48.001335,0.21866667,1099.1221,817,27.3,5.5,29,12
13:12:01,00:05:11,48.001667,0.22016667,1200.0122,807,27.2,5,28,12
13:12:21,00:05:31,48.001835,0.221,1289.6244,798,27.2,4,29,12
13:12:42,00:05:52,48.002,0.22233334,1399.9634,786,27.3,3.5,27,12
13:13:03,00:06:13,48.002335,0.2235,1490.4901,778,27.3,3,27,12
13:13:24,00:06:34,48.002335,0.225,1599.6097,767,27.3,2.5,28,12.1
13:13:44,00:06:54,48.0025,0.22649999,1706.9008,756,27.2,1.7,28,12.1
13:14:05,00:07:15,48.002834,0.22883333,1807.486,746,27.1,0.7,26,12.1
13:14:26,00:07:36,48.003166,0.23116666,1922.397,736,27.2,1.7,25,12.1
13:14:46,00:07:56,48.0035,0.23333333,2019.3245,726,27.1,2.2,25,12.1
13:15:07,00:08:17,48.003834,0.23483333,2108.632,718,27,2,24,12
13:15:28,00:08:38,48.004166,0.23583335,2194.2817,710,27.1,1.2,23,12.1
13:15:49,00:08:59,48.003834,0.237,2291.2095,702,27,0.7,22,12.1
13:16:09,00:09:19,48.003334,0.2385,2380.8218,694,26.8,0.2,22,12.1
13:16:30,00:09:40,48.003,0.23983334,2465.2522,686,26.7,-0.2,21,12.1
13:16:51,00:10:01,48.003,0.24183333,2551.5117,679,26.6,-1,21,12.1
13:17:12,00:10:22,48.003166,0.24366666,2656.9739,669,26.5,-1,21,12.1
13:17:32,00:10:42,48.003334,0.2455,2761.8264,660,26.5,-2,19,12.1
13:17:53,00:11:03,48.0035,0.24766666,2869.7268,651,26.6,-2.5,20,12.1
13:18:14,00:11:24,48.004,0.2495,2970.617,643,26.2,-3.5,19,12.1
13:18:34,00:11:44,48.004166,0.25116667,3081.87,633,26.3,-3.7,18,12.1
13:18:55,00:12:05,48.004,0.25283334,3173.921,626,26.1,-4.7,18,12.1
13:19:16,00:12:26,48.003666,0.2546667,3261.7043,619,26,-5,17,12.1
13:19:37,00:12:47,48.003666,0.25666666,3355.8887,611,26.1,-5.7,17,12.1
13:19:57,00:13:07,48.0035,0.2585,3449.7683,603,26.1,-6,16,12.1
13:20:18,00:13:28,48.003334,0.26066667,3562.8503,594,25.7,-7,17,12.1
13:20:39,00:13:49,48.003166,0.26299998,3658.8635,587,25.7,-7.7,16,12.1
